Year,Category,Group,Count
2014,Current Gender,Cisgender men,4544
2014,Current Gender,Cisgender women,606
2014,Current Gender,Transgender women,66
2014,Current Gender,Transgender men,1
2014,Current Gender,Alternative gender,0
2015,Current Gender,Cisgender men,4536
2015,Current Gender,Cisgender women,542
2015,Current Gender,Transgender women,73
2015,Current Gender,Transgender men,5
2015,Current Gender,Alternative gender,0
2016,Current Gender,Cisgender men,4477
2016,Current Gender,Cisgender women,611
2016,Current Gender,Transgender women,89
2016,Current Gender,Transgender men,5
2016,Current Gender,Alternative gender,0
2017,Current Gender,Cisgender men,4188
2017,Current Gender,Cisgender women,526
2017,Current Gender,Transgender women,72
2017,Current Gender,Transgender men,5
2017,Current Gender,Alternative gender,0
2011,Race/Ethnicity,American Indian/Alaska Native,15
2011,Race/Ethnicity,Asian*,246
2011,Race/Ethnicity,Black/African American,945
2011,Race/Ethnicity,Latinx,2102
2011,Race/Ethnicity,Native Hawaiian/Pacific Islander,21
2011,Race/Ethnicity,White,1585
2011,Race/Ethnicity,Multiple races,187
2012,Race/Ethnicity,American Indian/Alaska Native,16
2012,Race/Ethnicity,Asian*,306
2012,Race/Ethnicity,Black/African American,855
2012,Race/Ethnicity,Latinx,2181
2012,Race/Ethnicity,Native Hawaiian/Pacific Islander,16
2012,Race/Ethnicity,White,1562
2012,Race/Ethnicity,Multiple races,170
2013,Race/Ethnicity,American Indian/Alaska Native,12
2013,Race/Ethnicity,Asian*,291
2013,Race/Ethnicity,Black/African American,798
2013,Race/Ethnicity,Latinx,2039
2013,Race/Ethnicity,Native Hawaiian/Pacific Islander,13
2013,Race/Ethnicity,White,1416
2013,Race/Ethnicity,Multiple races,183
2014,Race/Ethnicity,American Indian/Alaska Native,10
2014,Race/Ethnicity,Asian*,354
2014,Race/Ethnicity,Black/African American,832
2014,Race/Ethnicity,Latinx,2352
2014,Race/Ethnicity,Native Hawaiian/Pacific Islander,5
2014,Race/Ethnicity,White,1479
2014,Race/Ethnicity,Multiple races,185
2015,Race/Ethnicity,American Indian/Alaska Native,16
2015,Race/Ethnicity,Asian*,317
2015,Race/Ethnicity,Black/African American,899
2015,Race/Ethnicity,Latinx,2276
2015,Race/Ethnicity,Native Hawaiian/Pacific Islander,13
2015,Race/Ethnicity,White,1449
2015,Race/Ethnicity,Multiple races,186
2016,Race/Ethnicity,American Indian/Alaska Native,17
2016,Race/Ethnicity,Asian*,335
2016,Race/Ethnicity,Black/African American,957
2016,Race/Ethnicity,Latinx,2356
2016,Race/Ethnicity,Native Hawaiian/Pacific Islander,12
2016,Race/Ethnicity,White,1340
2016,Race/Ethnicity,Multiple races,165
2017,Race/Ethnicity,American Indian/Alaska Native,18
2017,Race/Ethnicity,Asian*,344
2017,Race/Ethnicity,Black/African American,802
2017,Race/Ethnicity,Latinx,2232
2017,Race/Ethnicity,Native Hawaiian/Pacific Islander,12
2017,Race/Ethnicity,White,1245
2017,Race/Ethnicity,Multiple races,138
2011,Transmission Category: Male Adult or Adolescent,Male-to-male sexual contact (MMSC),3554
2011,Transmission Category: Male Adult or Adolescent,Injection drug use (IDU),160
2011,Transmission Category: Male Adult or Adolescent,MMSC and IDU,231
2011,Transmission Category: Male Adult or Adolescent,High-risk heterosexual contact (HRH)**,114
2011,Transmission Category: Male Adult or Adolescent,Heterosexual contact (Non-HRH)***,219
2011,Transmission Category: Male Adult or Adolescent,Perinatal,0
2011,Transmission Category: Male Adult or Adolescent,Unknown risk,250
2011,Transmission Category: Male Adult or Adolescent,Other***,0
2011,Transmission Category: Female Adult or Adolescent,Injection drug use (IDU),73
2011,Transmission Category: Female Adult or Adolescent,High-risk heterosexual contact (HRH)**,257
2011,Transmission Category: Female Adult or Adolescent,Heterosexual contact (Non-HRH)***,169
2011,Transmission Category: Female Adult or Adolescent,Perinatal,0
2011,Transmission Category: Female Adult or Adolescent,Unknown risk,58
2011,Transmission Category: Female Adult or Adolescent,Other***,0
2011,Transmission Category: Child (<12 Years Old at the End of Year),Perinatal,11
2011,Transmission Category: Child (<12 Years Old at the End of Year),Unknown risk,4
2011,Transmission Category: Child (<12 Years Old at the End of Year),Other****,1
2012,Transmission Category: Male Adult or Adolescent,Male-to-male sexual contact (MMSC),3522
2012,Transmission Category: Male Adult or Adolescent,Injection drug use (IDU),145
2012,Transmission Category: Male Adult or Adolescent,MMSC and IDU,225
2012,Transmission Category: Male Adult or Adolescent,High-risk heterosexual contact (HRH)**,113
2012,Transmission Category: Male Adult or Adolescent,Heterosexual contact (Non-HRH)***,246
2012,Transmission Category: Male Adult or Adolescent,Perinatal,0
2012,Transmission Category: Male Adult or Adolescent,Unknown risk,291
2012,Transmission Category: Male Adult or Adolescent,Other***,0
2012,Transmission Category: Female Adult or Adolescent,Injection drug use (IDU),58
2012,Transmission Category: Female Adult or Adolescent,High-risk heterosexual contact (HRH)**,259
2012,Transmission Category: Female Adult or Adolescent,Heterosexual contact (Non-HRH)***,167
2012,Transmission Category: Female Adult or Adolescent,Perinatal,2
2012,Transmission Category: Female Adult or Adolescent,Unknown risk,65
2012,Transmission Category: Female Adult or Adolescent,Other****,1
2012,Transmission Category: Child (<12 Years Old at the End of Year),Perinatal,10
2012,Transmission Category: Child (<12 Years Old at the End of Year),Unknown risk,2
2012,Transmission Category: Child (<12 Years Old at the End of Year),Other****,0
2013,Transmission Category: Male Adult or Adolescent,Male-to-male sexual contact (MMSC),3247
2013,Transmission Category: Male Adult or Adolescent,Injection drug use (IDU),141
2013,Transmission Category: Male Adult or Adolescent,MMSC and IDU,179
2013,Transmission Category: Male Adult or Adolescent,High-risk heterosexual contact (HRH)**,141
2013,Transmission Category: Male Adult or Adolescent,Heterosexual contact (Non-HRH)***,263
2013,Transmission Category: Male Adult or Adolescent,Perinatal,0
2013,Transmission Category: Male Adult or Adolescent,Unknown risk,246
2013,Transmission Category: Male Adult or Adolescent,Other****,0
2013,Transmission Category: Female Adult or Adolescent,Injection drug use (IDU),58
2013,Transmission Category: Female Adult or Adolescent,High-risk heterosexual contact (HRH)**,223
2013,Transmission Category: Female Adult or Adolescent,Heterosexual contact (Non-HRH)***,170
2013,Transmission Category: Female Adult or Adolescent,Perinatal,1
2013,Transmission Category: Female Adult or Adolescent,Unknown risk,63
2013,Transmission Category: Female Adult or Adolescent,Other****,0
2013,Transmission Category: Child (<12 Years Old at the End of Year),Perinatal,14
2013,Transmission Category: Child (<12 Years Old at the End of Year),Unknown risk,6
2013,Transmission Category: Child (<12 Years Old at the End of Year),Other****,0
2014,Transmission Category: Male Adult or Adolescent,Male-to-male sexual contact (MMSC),3497
2014,Transmission Category: Male Adult or Adolescent,Injection drug use (IDU),156
2014,Transmission Category: Male Adult or Adolescent,MMSC and IDU,185
2014,Transmission Category: Male Adult or Adolescent,High-risk heterosexual contact (HRH)**,143
2014,Transmission Category: Male Adult or Adolescent,Heterosexual contact (Non-HRH)***,286
2014,Transmission Category: Male Adult or Adolescent,Perinatal,2
2014,Transmission Category: Male Adult or Adolescent,Unknown risk,334
2014,Transmission Category: Male Adult or Adolescent,Other****,0
2014,Transmission Category: Female Adult or Adolescent,Injection drug use (IDU),65
2014,Transmission Category: Female Adult or Adolescent,High-risk heterosexual contact (HRH)**,234
2014,Transmission Category: Female Adult or Adolescent,Heterosexual contact (Non-HRH)***,240
2014,Transmission Category: Female Adult or Adolescent,Perinatal,2
2014,Transmission Category: Female Adult or Adolescent,Unknown risk,57
2014,Transmission Category: Female Adult or Adolescent,Other***,0
2014,Transmission Category: Child (<12 Years Old at the End of Year),Perinatal,12
2014,Transmission Category: Child (<12 Years Old at the End of Year),Unknown risk,4
2014,Transmission Category: Child (<12 Years Old at the End of Year),Other****,0
2015,Transmission Category: Male Adult or Adolescent,Male-to-male sexual contact (MMSC),3490
2015,Transmission Category: Male Adult or Adolescent,Injection drug use (IDU),141
2015,Transmission Category: Male Adult or Adolescent,MMSC and IDU,169
2015,Transmission Category: Male Adult or Adolescent,High-risk heterosexual contact (HRH)**,107
2015,Transmission Category: Male Adult or Adolescent,Heterosexual contact (Non-HRH)***,323
2015,Transmission Category: Male Adult or Adolescent,Perinatal,1
2015,Transmission Category: Male Adult or Adolescent,Unknown risk,375
2015,Transmission Category: Male Adult or Adolescent,Other****,0
2015,Transmission Category: Female Adult or Adolescent,Injection drug use (IDU),63
2015,Transmission Category: Female Adult or Adolescent,High-risk heterosexual contact (HRH)**,201
2015,Transmission Category: Female Adult or Adolescent,Heterosexual contact (Non-HRH)***,220
2015,Transmission Category: Female Adult or Adolescent,Perinatal,0
2015,Transmission Category: Female Adult or Adolescent,Unknown risk,56
2015,Transmission Category: Female Adult or Adolescent,Other****,0
2015,Transmission Category: Child (<12 Years Old at the End of Year),Perinatal,7
2015,Transmission Category: Child (<12 Years Old at the End of Year),Unknown risk,3
2015,Transmission Category: Child (<12 Years Old at the End of Year),Other****,0
2016,Transmission Category: Male Adult or Adolescent,Male-to-male sexual contact (MMSC),3355
2016,Transmission Category: Male Adult or Adolescent,Injection drug use (IDU),140
2016,Transmission Category: Male Adult or Adolescent,MMSC and IDU,172
2016,Transmission Category: Male Adult or Adolescent,High-risk heterosexual contact (HRH)**,133
2016,Transmission Category: Male Adult or Adolescent,Heterosexual contact (Non-HRH)***,360
2016,Transmission Category: Male Adult or Adolescent,Perinatal,0
2016,Transmission Category: Male Adult or Adolescent,Unknown risk,401
2016,Transmission Category: Male Adult or Adolescent,Other****,0
2016,Transmission Category: Female Adult or Adolescent,Injection drug use (IDU),62
2016,Transmission Category: Female Adult or Adolescent,High-risk heterosexual contact (HRH)**,197
2016,Transmission Category: Female Adult or Adolescent,Heterosexual contact (Non-HRH)***,270
2016,Transmission Category: Female Adult or Adolescent,Perinatal,2
2016,Transmission Category: Female Adult or Adolescent,Unknown risk,79
2016,Transmission Category: Female Adult or Adolescent,Other***,0
2016,Transmission Category: Child (<12 Years Old at the End of Year),Perinatal,8
2016,Transmission Category: Child (<12 Years Old at the End of Year),Unknown risk,2
2016,Transmission Category: Child (<12 Years Old at the End of Year),Other****,1
2017,Transmission Category: Male Adult or Adolescent,Male-to-male sexual contact (MMSC),3039
2017,Transmission Category: Male Adult or Adolescent,Injection drug use (IDU),146
2017,Transmission Category: Male Adult or Adolescent,MMSC and IDU,177
2017,Transmission Category: Male Adult or Adolescent,High-risk heterosexual contact (HRH)**,109
2017,Transmission Category: Male Adult or Adolescent,Heterosexual contact (Non-HRH)***,324
2017,Transmission Category: Male Adult or Adolescent,Perinatal,0
2017,Transmission Category: Male Adult or Adolescent,Unknown risk,461
2017,Transmission Category: Male Adult or Adolescent,Other****,1
2017,Transmission Category: Female Adult or Adolescent,Injection drug use (IDU),77
2017,Transmission Category: Female Adult or Adolescent,High-risk heterosexual contact (HRH)**,177
2017,Transmission Category: Female Adult or Adolescent,Heterosexual contact (Non-HRH)***,211
2017,Transmission Category: Female Adult or Adolescent,Perinatal,1
2017,Transmission Category: Female Adult or Adolescent,Unknown risk,63
2017,Transmission Category: Female Adult or Adolescent,Other****,0
2017,Transmission Category: Child (<12 Years Old at the End of Year),Perinatal,5
2017,Transmission Category: Child (<12 Years Old at the End of Year),Unknown risk,0
2017,Transmission Category: Child (<12 Years Old at the End of Year),Other****,0
